[Thread 1] Time: 1.000000, Process 1, Started.
[Thread 1] Time: 1.000000, Process 1, Resumed.
[Thread 1] Time: 1.500000, Process 1, Paused.
[Thread 2] Time: 1.500000, Process 2, Started.
[Thread 2] Time: 1.500000, Process 2, Resumed.
[Thread 2] Time: 1.800000, Process 2, Paused.
[Thread 2] Time: 1.800000, Process 3, Started.
[Thread 2] Time: 1.800000, Process 3, Resumed.
[Thread 2] Time: 1.900000, Process 3, Paused.
[Thread 2] Time: 1.900000, Process 1, Resumed.
[Thread 2] Time: 2.350000, Process 1, Paused.
[Thread 2] Time: 2.350000, Process 2, Resumed.
[Thread 2] Time: 2.620000, Process 2, Paused.
[Thread 2] Time: 2.620000, Process 3, Resumed.
[Thread 2] Time: 2.710000, Process 3, Paused.
[Thread 2] Time: 2.710000, Process 2, Resumed.
[Thread 2] Time: 2.953000, Process 2, Paused.
[Thread 2] Time: 2.953000, Process 3, Resumed.
[Thread 2] Time: 3.034000, Process 3, Paused.
[Thread 2] Time: 3.034000, Process 3, Resumed.
[Thread 2] Time: 3.106900, Process 3, Paused.
[Thread 2] Time: 3.106900, Process 3, Resumed.
[Thread 2] Time: 3.172510, Process 3, Paused.
[Thread 2] Time: 3.172510, Process 3, Resumed.
[Thread 2] Time: 3.231559, Process 3, Paused.
[Thread 2] Time: 3.231559, Process 3, Resumed.
[Thread 2] Time: 3.284703, Process 3, Paused.
[Thread 2] Time: 3.284703, Process 3, Resumed.
[Thread 2] Time: 3.332533, Process 3, Paused.
[Thread 2] Time: 3.332533, Process 3, Resumed.
[Thread 2] Time: 3.375580, Process 3, Paused.
[Thread 2] Time: 3.375580, Process 3, Resumed.
[Thread 2] Time: 3.414322, Process 3, Paused.
[Thread 2] Time: 3.414322, Process 3, Resumed.
[Thread 2] Time: 3.449189, Process 3, Paused.
[Thread 2] Time: 3.449189, Process 3, Resumed.
[Thread 2] Time: 3.480570, Process 3, Paused.
[Thread 2] Time: 3.480570, Process 3, Resumed.
[Thread 2] Time: 3.508813, Process 3, Paused.
[Thread 2] Time: 3.508813, Process 3, Resumed.
[Thread 2] Time: 3.534232, Process 3, Paused.
[Thread 2] Time: 3.534232, Process 3, Resumed.
[Thread 2] Time: 3.557109, Process 3, Paused.
[Thread 2] Time: 3.557109, Process 3, Resumed.
[Thread 2] Time: 3.577698, Process 3, Paused.
[Thread 2] Time: 3.577698, Process 3, Resumed.
[Thread 2] Time: 3.596228, Process 3, Paused.
[Thread 2] Time: 3.596228, Process 3, Resumed.
[Thread 2] Time: 3.612905, Process 3, Paused.
[Thread 2] Time: 3.612905, Process 3, Resumed.
[Thread 2] Time: 3.627915, Process 3, Paused.
[Thread 2] Time: 3.627915, Process 3, Resumed.
[Thread 2] Time: 3.641423, Process 3, Paused.
